Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Link
India,South Africa,India,7 runs,Bridgetown,"Jun 29, 2024",T20I # 2729,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard
England,India,India,68 runs,Providence,"Jun 27, 2024",T20I # 2724,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,"Jun 26, 2024",T20I # 2723,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,"Jun 24, 2024",T20I # 2722,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-bangladesh-52nd-match-super-eights-group-1-1415752/full-scorecard
Australia,India,India,24 runs,Gros Islet,"Jun 24, 2024",T20I # 2721,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-india-51st-match-super-eights-group-1-1415751/full-scorecard
West Indies,South Africa,South Africa,3 wickets,North Sound,"Jun 23, 2024",T20I # 2720,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-south-africa-50th-match-super-eights-group-2-1415750/full-scorecard
England,U.S.A.,England,10 wickets,Bridgetown,"Jun 23, 2024",T20I # 2719,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-united-states-of-america-49th-match-super-eights-group-2-1415749/full-scorecard
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,"Jun 22, 2024",T20I # 2717,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-australia-48th-match-super-eights-group-1-1415748/full-scorecard
Bangladesh,India,India,50 runs,North Sound,"Jun 22, 2024",T20I # 2716,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-india-47th-match-super-eights-group-1-1415747/full-scorecard
West Indies,U.S.A.,West Indies,9 wickets,Bridgetown,"Jun 21, 2024",T20I # 2713,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-united-states-of-america-46th-match-super-eights-group-2-1415746/full-scorecard
England,South Africa,South Africa,7 runs,Gros Islet,"Jun 21, 2024",T20I # 2712,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-south-africa-45th-match-super-eights-group-2-1415745/full-scorecard
Australia,Bangladesh,Australia,28 runs,North Sound,"Jun 20, 2024",T20I # 2711,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-bangladesh-44th-match-super-eights-group-1-1415744/full-scorecard
Afghanistan,India,India,47 runs,Bridgetown,"Jun 20, 2024",T20I # 2710,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-india-43rd-match-super-eights-group-1-1415743/full-scorecard
West Indies,England,England,8 wickets,Gros Islet,"Jun 19, 2024",T20I # 2709,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-england-42nd-match-super-eights-group-2-1415742/full-scorecard
South Africa,U.S.A.,South Africa,18 runs,North Sound,"Jun 19, 2024",T20I # 2708,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-united-states-of-america-41st-match-super-eights-group-2-1415741/full-scorecard
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,"Jun 17, 2024",T20I # 2703,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-afghanistan-40th-match-group-c-1415740/full-scorecard
New Zealand,P.N.G.,New Zealand,7 wickets,Tarouba,"Jun 17, 2024",T20I # 2702,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-papua-new-guinea-39th-match-group-c-1415739/full-scorecard
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,"Jun 16, 2024",T20I # 2699,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-sri-lanka-38th-match-group-d-1415738/full-scorecard
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,"Jun 16, 2024",T20I # 2698,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-nepal-37th-match-group-d-1415737/full-scorecard
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,"Jun 16, 2024",T20I # 2697,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/ireland-vs-pakistan-36th-match-group-a-1415736/full-scorecard
Australia,Scotland,Australia,5 wickets,Gros Islet,"Jun 15, 2024",T20I # 2689,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-scotland-35th-match-group-b-1415735/full-scorecard
England,Namibia,England,41 runs,North Sound,"Jun 15, 2024",T20I # 2688,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-namibia-34th-match-group-b-1415734/full-scorecard
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,"Jun 14, 2024",T20I # 2682,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-uganda-32nd-match-group-c-1415732/full-scorecard
Nepal,South Africa,South Africa,1 run,Kingstown,"Jun 14, 2024",T20I # 2681,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/nepal-vs-south-africa-31st-match-group-d-1415731/full-scorecard
Afghanistan,P.N.G.,Afghanistan,7 wickets,Tarouba,"Jun 13, 2024",T20I # 2679,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-papua-new-guinea-29th-match-group-c-1415729/full-scorecard
England,Oman,England,8 wickets,North Sound,"Jun 13, 2024",T20I # 2678,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-oman-28th-match-group-b-1415728/full-scorecard
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,"Jun 13, 2024",T20I # 2677,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-netherlands-27th-match-group-d-1415727/full-scorecard
West Indies,New Zealand,West Indies,13 runs,Tarouba,"Jun 12, 2024",T20I # 2672,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-new-zealand-26th-match-group-c-1415726/full-scorecard
U.S.A.,India,India,7 wickets,New York,"Jun 12, 2024",T20I # 2671,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-india-25th-match-group-a-1415725/full-scorecard
Australia,Namibia,Australia,9 wickets,North Sound,"Jun 11, 2024",T20I # 2666,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-namibia-24th-match-group-b-1415724/full-scorecard
Canada,Pakistan,Pakistan,7 wickets,New York,"Jun 11, 2024",T20I # 2665,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/canada-vs-pakistan-22nd-match-group-a-1415722/full-scorecard
Bangladesh,South Africa,South Africa,4 runs,New York,"Jun 10, 2024",T20I # 2664,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-south-africa-21st-match-group-d-1415721/full-scorecard
Oman,Scotland,Scotland,7 wickets,North Sound,"Jun 9, 2024",T20I # 2659,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/oman-vs-scotland-20th-match-group-b-1415720/full-scorecard
India,Pakistan,India,6 runs,New York,"Jun 9, 2024",T20I # 2658,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-pakistan-19th-match-group-a-1415719/full-scorecard
West Indies,Uganda,West Indies,134 runs,Providence,"Jun 8, 2024",T20I # 2651,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-uganda-18th-match-group-c-1415718/full-scorecard
Australia,England,Australia,36 runs,Bridgetown,"Jun 8, 2024",T20I # 2650,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-england-17th-match-group-b-1415717/full-scorecard
Netherlands,South Africa,South Africa,4 wickets,New York,"Jun 8, 2024",T20I # 2649,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-south-africa-16th-match-group-d-1415716/full-scorecard
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,"Jun 7, 2024",T20I # 2646,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-sri-lanka-15th-match-group-d-1415715/full-scorecard
