Name,Team,BattingStyle,BowlingStyle,PlayingRole
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,None,Wicketkeeper Batter
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Mohammad Ishaq,Afghanistan,Right hand Bat,None,Wicketkeeper Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Karim Janat,Afghanistan,Right hand Bat,Right arm Medium,Bowling Allrounder
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Nangeyalia Kharote,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Noor Ahmad,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Top order Batter
Josh Inglis,Australia,Right hand Bat,None,Wicketkeeper Batter
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Jaker Ali,Bangladesh,Right hand Bat,None,Batter
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Tanzid Hasan,Bangladesh,Left hand Bat,None,Opening Batter
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Bowler
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Tanvir Islam,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter
Aaron Johnson,Canada,Right hand Bat,Right arm Offbreak,Batter
Shreyas Movva,Canada,Right hand Bat,None,Wicketkeeper Batter
Ravinderpal Singh,Canada,Right hand Bat,Right arm Offbreak,Batter
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder
Dilpreet Bajwa,Canada,Right hand Bat,Right arm Offbreak,Allrounder
Junaid Siddiqui,Canada,Right hand Bat,Legbreak,Allrounder
Nicholas Kirton,Canada,Left hand Bat,None,Batting Allrounder
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder
Rayyan Pathan,Canada,Right hand Bat,Right arm Fast medium,Batting Allrounder
Harsh Thaker,Canada,Right hand Bat,Right arm Offbreak,Allrounder
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler
Dilon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler
Rishiv Joshi,Canada,Right hand Bat,Left arm Medium fast,Bowler
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler
Jos Buttler,England,Right hand Bat,None,Wicketkeeper Batter
Jonny Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Ben Duckett,England,Left hand Bat,Right arm Offbreak,Top order Batter
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler
Tom Hartley,England,Left hand Bat,Slow Left arm Orthodox,Bowler
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter
Yashasvi Jaiswal,India,Left hand Bat,Legbreak,Opening Batter
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Rishabh Pant,India,Left hand Bat,None,Wicketkeeper Batter
Sanju Samson,India,Right hand Bat,None,Wicketkeeper Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler
Yuzvendra Chahal,India,Right hand Bat,Legbreak Googly,Bowler
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler
Ross Adair,Ireland,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter
Neil Rock,Ireland,Left hand Bat,None,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Lorcan Tucker,Ireland,Right hand Bat,None,Wicketkeeper Batter
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Graham Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Ben White,Ireland,Right hand Bat,Legbreak,Bowler
Craig Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Nikolaas Davin,Namibia,Right hand Bat,Legbreak,Batter
Zane Green,Namibia,Left hand Bat,None,Wicketkeeper Batter
JP Kotze,Namibia,Left hand Bat,None,Batter
Malan Kruger,Namibia,Right hand Bat,None,Batter
Dylan Leicher,Namibia,Right hand Bat,Right arm Medium,Middle order Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
Peter-Daniel Blignaut,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Jack Brassell,Namibia,Right hand Bat,Right arm Medium,Bowler
Tangeni Lungameni,Namibia,Right hand Bat,Left arm Medium,Bowler
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler
